iter	MultiClass
0	1.065610874
1	1.042874893
2	1.026540416
3	1.012729585
4	1.001943886
5	0.9929740159
6	0.9838788849
7	0.9758361328
8	0.9679079576
9	0.9605753263
10	0.9542114597
11	0.947224867
12	0.941093745
13	0.9354781114
14	0.9302129075
15	0.9251918855
16	0.9206492138
17	0.9156703638
18	0.9116323695
19	0.9075423993
20	0.9033272547
21	0.8995445383
22	0.8957207008
23	0.8922311921
24	0.8886026401
25	0.8851304462
26	0.8816912918
27	0.8784078324
28	0.8753186477
29	0.8721606117
30	0.8690725268
31	0.8662121776
32	0.8636998384
33	0.8609814293
34	0.8588666012
35	0.8563215179
36	0.8540376901
37	0.8513765797
38	0.8491635229
39	0.8468014822
40	0.8446087406
41	0.8422459598
42	0.84021727
43	0.8382786096
44	0.8364019887
45	0.8347582153
46	0.8327625251
47	0.8309217301
48	0.8292158148
49	0.8272992483
50	0.8256868048
51	0.8238275011
52	0.8221544609
53	0.8204821535
54	0.8189204661
55	0.8173669352
56	0.8159479154
57	0.8144036077
58	0.8128781059
59	0.8113533476
60	0.8100019352
61	0.8084503921
62	0.8071732114
63	0.8057912652
64	0.8043280114
65	0.8027793945
66	0.8013871895
67	0.7998769875
68	0.7984733464
69	0.7973172487
70	0.7957648257
71	0.7944699331
72	0.7928812937
73	0.7915017318
74	0.7902674267
75	0.7892119998
76	0.7880105778
77	0.7868496381
78	0.7856815696
79	0.7845215211
80	0.7833884778
81	0.7823593806
82	0.7812938264
83	0.7801303218
84	0.7790587242
85	0.7777925659
86	0.7767953972
87	0.7757200197
88	0.7747874744
89	0.773662155
90	0.7726352288
91	0.7718167154
92	0.7707622876
93	0.7698251152
94	0.7689349644
95	0.7679455063
96	0.7671343089
97	0.766283416
98	0.7653970684
99	0.7645861713
100	0.7637474476
101	0.7629676558
102	0.7621637993
103	0.7613097212
104	0.7605230094
105	0.7597036869
106	0.7590234013
107	0.7582421456
108	0.7575197664
109	0.7568276752
110	0.756116494
111	0.7554129661
112	0.7546502731
113	0.754004524
114	0.7532414596
115	0.7526057738
116	0.7518500436
117	0.7512022622
118	0.7504073986
119	0.7496857713
120	0.7489421583
121	0.7480505066
122	0.7473940023
123	0.7467415091
124	0.7460580256
125	0.745432696
126	0.7447452075
127	0.7441326689
128	0.7434661993
129	0.7428554019
130	0.7423043652
131	0.7416745399
132	0.7410058199
133	0.74045589
134	0.7398070262
135	0.739310972
136	0.7386740651
137	0.7380442409
138	0.7374913085
139	0.7369065357
140	0.7364116705
141	0.7359442262
142	0.7353580699
143	0.7349023299
144	0.734469304
145	0.7339624252
146	0.733413791
147	0.7328278255
148	0.7322544307
149	0.7318119844
150	0.7313209368
151	0.7307787097
152	0.7302482041
153	0.7297078252
154	0.7292075639
155	0.7286608454
156	0.728217615
157	0.727700084
158	0.7272197499
159	0.7267063551
160	0.7261659281
161	0.7256719076
162	0.7251819483
163	0.7246735222
164	0.7241980298
165	0.7236929147
166	0.7232591801
167	0.7228191839
168	0.7223493169
169	0.7218934723
170	0.7213601864
171	0.7209188336
172	0.7204893279
173	0.7199662656
174	0.7195866402
175	0.7191769883
176	0.7187869594
177	0.7183503146
178	0.7179459968
179	0.7175653918
180	0.7171130801
181	0.7166954772
182	0.7162745977
183	0.7158418013
184	0.7154417421
185	0.7150898492
186	0.7147039791
187	0.7143438708
188	0.7139638195
189	0.713616454
190	0.7131896858
191	0.7128764385
192	0.7124531604
193	0.712084146
194	0.7117116654
195	0.7113128008
196	0.7109964109
197	0.7105657964
198	0.710182765
199	0.7098428219
200	0.7095242264
201	0.7091848823
202	0.7087720269
203	0.7084541678
204	0.708056617
205	0.7076915522
206	0.7073328926
207	0.7069933332
208	0.7067208759
209	0.7064378437
210	0.7060964496
211	0.705834096
212	0.7055563647
213	0.7051853501
214	0.7048664561
215	0.704543001
216	0.7042153814
217	0.7038882177
218	0.7035399006
219	0.703222804
220	0.7028424085
221	0.7026418935
222	0.7023337752
223	0.7020264022
224	0.7016576519
225	0.7013252658
226	0.7010378923
227	0.7006724247
228	0.7003450905
229	0.6999633577
230	0.6996531625
231	0.6994508667
232	0.6991632752
233	0.6988031208
234	0.6985424943
235	0.6982146456
236	0.6978866983
237	0.6975526778
238	0.6973308469
239	0.6970260864
240	0.6965845729
241	0.6963360541
242	0.696043391
243	0.695764289
244	0.6954107307
245	0.6950629218
246	0.6948025908
247	0.6944804908
248	0.6941778798
249	0.6939228516
250	0.6936413973
251	0.6933850849
252	0.6930541149
253	0.6927940302
254	0.6925500676
255	0.6923007643
256	0.6920134175
257	0.6917195989
258	0.6914409523
259	0.6911254951
260	0.6908472608
261	0.690603305
262	0.6903113993
263	0.6900772477
264	0.6898135184
265	0.6895896859
266	0.6893430483
267	0.6891262204
268	0.6888378562
269	0.6885724789
270	0.688294
271	0.6880199472
272	0.6877690134
273	0.6874544787
274	0.6872178232
275	0.6869594296
276	0.6866919106
277	0.6864760627
278	0.6862493331
279	0.6860293475
280	0.685812872
281	0.6855514807
282	0.6852000276
283	0.6848066003
284	0.6844878926
285	0.6842634374
286	0.684019522
287	0.6838010661
288	0.6835974325
289	0.683389337
290	0.6831601848
291	0.6829588478
292	0.6827688739
293	0.6825772047
294	0.6823338233
295	0.682146927
296	0.6818795227
297	0.681699013
298	0.6815905481
299	0.6813830733
300	0.6811868406
301	0.6809159066
302	0.6806386332
303	0.6803059035
304	0.6800689915
305	0.6798452328
306	0.6796492121
307	0.6794505752
308	0.6792268841
309	0.6790399314
310	0.6787950114
311	0.678557718
312	0.678353326
313	0.6781524717
314	0.6779893506
315	0.6778445375
316	0.6776183174
317	0.6774767016
318	0.6772171064
319	0.6770160152
320	0.6767989689
321	0.6766210108
322	0.6763543994
323	0.6761211191
324	0.6758496307
325	0.6757240615
326	0.6755189988
327	0.6753591284
328	0.6751478439
329	0.6749611235
330	0.6747424973
331	0.6744933596
332	0.6742956937
333	0.6741455054
334	0.6739139919
335	0.6737000113
336	0.6734915507
337	0.6732948297
338	0.6730992721
339	0.6729246111
340	0.6727300188
341	0.6725605003
342	0.6722415512
343	0.6720251051
344	0.6719123332
345	0.6716922008
346	0.6714508584
347	0.6713283216
348	0.6712141424
349	0.6710554726
350	0.6708970131
351	0.6707444042
352	0.6705126584
353	0.6702785096
354	0.6701018481
355	0.669973971
356	0.6697899564
357	0.669590915
358	0.6694240711
359	0.669276575
360	0.6690680939
361	0.6689307621
362	0.668769936
363	0.6686386889
364	0.6684904944
365	0.6682997267
366	0.6681452221
367	0.667974978
368	0.6677558206
369	0.6676093518
370	0.6674161364
371	0.6673061383
372	0.6672013296
373	0.6670465443
374	0.6669054642
375	0.6667179566
376	0.6665478674
377	0.6663763293
378	0.6661544001
379	0.6659818962
380	0.6658129809
381	0.6655929063
382	0.6653723699
383	0.6652508475
384	0.6650667698
385	0.6648901864
386	0.6647473382
387	0.6645731623
388	0.6644014429
389	0.6642865401
390	0.6641377874
391	0.6640458785
392	0.6638630042
393	0.6637095614
394	0.663576472
395	0.6633541332
396	0.6632758945
397	0.6631517978
398	0.6630078932
399	0.6628702873
400	0.6627378673
401	0.6625652078
402	0.6623509906
403	0.6622328189
404	0.6621040505
405	0.661918057
406	0.6617794252
407	0.6615453844
408	0.661414004
409	0.6613412623
410	0.6611851572
411	0.6610393135
412	0.6609255521
413	0.6607704488
