iter	Passed	Remaining
0	3208	1601160
1	5882	1464783
2	8396	1391091
3	10867	1347513
4	13332	1319913
5	15688	1291647
6	18196	1281576
7	20574	1265358
8	22993	1254397
9	25422	1245724
10	27805	1236072
11	30282	1231478
12	32677	1224135
13	35079	1217774
14	37508	1212763
15	39932	1207954
16	42384	1204228
17	44854	1201096
18	47408	1200188
19	49956	1198951
20	52542	1198458
21	55175	1198813
22	57707	1196807
23	60184	1193654
24	62602	1189444
25	65078	1186433
26	67534	1183096
27	69921	1178678
28	72293	1174145
29	74698	1170271
30	77192	1167844
31	79603	1164199
32	81996	1160371
33	84460	1157607
34	86781	1152956
35	89230	1150078
36	91614	1146413
37	94002	1142877
38	96524	1140968
39	98969	1138145
40	101330	1134408
41	103722	1131073
42	106083	1127448
43	108410	1123525
44	110831	1120628
45	113264	1117873
46	115641	1114583
47	118037	1111519
48	120432	1108466
49	122840	1105567
50	125221	1102438
51	127692	1100124
52	130161	1097774
53	132582	1095032
54	134962	1091967
55	137396	1089361
56	139764	1086241
57	142165	1083401
58	144526	1080270
59	146945	1077598
60	149386	1075090
61	151806	1072438
62	154225	1069789
63	156734	1067754
64	159241	1065691
65	161666	1063082
66	164096	1060506
67	166587	1058320
68	168920	1055143
69	171274	1052115
70	173657	1049283
71	176037	1046445
72	178641	1044928
73	181052	1042272
74	183479	1039718
75	185934	1037319
76	188351	1034711
77	190701	1031743
78	193144	1029291
79	195588	1026840
80	197953	1023981
81	200320	1021144
82	202676	1018265
83	205230	1016382
84	207655	1013845
85	210150	1011655
86	212523	1008877
87	214893	1006093
88	217236	1003194
89	219619	1000488
90	222018	997861
91	224386	995106
92	226737	992282
93	229154	989752
94	231547	987122
95	234114	985231
96	236495	982555
97	238858	979806
98	241187	976930
99	243534	974137
100	245904	971445
101	248252	968671
102	250670	966176
103	252982	963277
104	255368	960672
105	257803	958251
106	260198	955681
107	262617	953204
108	264988	950556
109	267343	947853
110	269677	945087
111	271994	942265
