iter	Passed	Remaining
0	12	12466
1	24	12295
2	38	12637
3	49	12397
4	61	12177
5	72	12090
6	84	12025
7	96	11942
8	107	11846
9	119	11863
10	131	11858
11	151	12499
12	168	12780
13	183	12913
14	200	13177
15	216	13313
16	229	13272
17	242	13222
18	260	13465
19	276	13538
20	288	13468
21	299	13334
22	313	13328
23	326	13272
24	338	13207
25	349	13101
26	361	13015
27	373	12964
28	385	12893
29	396	12810
30	407	12747
31	419	12684
32	430	12615
33	442	12566
34	454	12517
35	465	12461
36	478	12448
37	490	12415
38	502	12369
39	513	12315
40	526	12304
41	538	12279
42	550	12247
43	561	12204
44	574	12183
45	585	12151
46	597	12116
47	608	12077
48	620	12045
49	632	12016
50	643	11976
51	655	11953
52	667	11929
53	679	11901
54	690	11870
55	702	11845
56	714	11820
57	725	11789
58	738	11778
59	750	11761
60	762	11730
61	774	11713
62	786	11702
63	799	11689
64	810	11661
65	822	11635
66	834	11615
67	846	11596
68	857	11566
69	869	11549
70	881	11540
71	893	11522
72	905	11496
73	917	11476
74	929	11460
75	940	11432
76	952	11413
77	964	11397
78	976	11381
79	987	11356
80	999	11342
81	1011	11323
82	1022	11300
83	1034	11285
84	1047	11272
85	1059	11256
86	1070	11236
87	1083	11227
88	1096	11220
89	1108	11211
90	1122	11208
91	1134	11200
92	1147	11191
93	1161	11190
94	1175	11199
95	1189	11205
96	1203	11201
97	1215	11192
98	1229	11185
99	1241	11176
100	1255	11171
101	1269	11175
102	1283	11180
103	1297	11180
104	1311	11178
105	1324	11174
106	1338	11168
107	1351	11162
108	1364	11151
109	1377	11145
110	1391	11141
111	1404	11134
112	1417	11123
113	1430	11115
114	1444	11114
115	1456	11100
116	1470	11100
117	1485	11101
118	1498	11097
119	1514	11103
120	1529	11109
121	1543	11104
122	1555	11089
123	1567	11076
124	1579	11058
125	1591	11038
126	1603	11021
127	1615	11008
128	1627	10991
129	1641	10985
130	1655	10980
131	1669	10980
132	1684	10980
133	1699	10983
134	1721	11029
135	1739	11052
136	1757	11069
137	1776	11094
138	1793	11109
139	1806	11098
140	1820	11090
141	1832	11072
142	1845	11057
143	1858	11047
144	1871	11036
145	1890	11056
146	1905	11059
147	1919	11051
148	1932	11039
149	1946	11032
150	1959	11018
151	1971	11000
152	1983	10981
153	1995	10964
154	2010	10957
155	2023	10945
156	2037	10938
157	2050	10926
158	2063	10914
159	2076	10899
160	2088	10882
161	2099	10861
162	2111	10843
163	2135	10888
164	2147	10868
165	2159	10851
166	2172	10838
167	2194	10869
168	2206	10848
169	2217	10826
170	2229	10808
171	2241	10790
172	2257	10792
173	2269	10774
174	2281	10756
175	2293	10736
176	2305	10718
177	2317	10700
178	2329	10683
179	2341	10667
180	2354	10652
181	2367	10641
182	2380	10627
183	2393	10616
184	2407	10604
185	2420	10592
186	2434	10582
187	2446	10564
188	2457	10543
189	2470	10533
190	2485	10528
191	2498	10515
192	2517	10528
193	2530	10513
194	2542	10494
195	2553	10476
196	2565	10455
197	2577	10438
198	2588	10418
199	2599	10398
200	2612	10383
201	2623	10365
202	2635	10345
203	2646	10328
204	2658	10310
205	2670	10291
206	2681	10271
207	2692	10252
208	2704	10235
209	2716	10220
210	2727	10200
211	2739	10181
212	2750	10162
213	2762	10145
214	2773	10126
215	2785	10109
216	2797	10092
217	2809	10077
218	2822	10064
219	2833	10045
220	2844	10027
221	2856	10010
222	2867	9991
223	2878	9973
224	2889	9953
225	2901	9936
226	2913	9922
227	2925	9905
228	2936	9888
229	2948	9870
230	2959	9852
231	2971	9837
232	2983	9821
233	2994	9803
234	3006	9785
235	3017	9768
236	3029	9752
237	3040	9736
238	3052	9720
239	3064	9702
240	3075	9684
241	3088	9674
242	3101	9661
243	3114	9650
244	3128	9640
245	3140	9626
246	3152	9611
247	3166	9601
248	3178	9585
249	3190	9572
250	3204	9561
251	3216	9547
252	3228	9531
253	3240	9517
254	3252	9503
255	3265	9490
256	3278	9478
257	3291	9465
258	3304	9454
259	3318	9444
260	3330	9430
261	3342	9416
262	3355	9401
263	3367	9387
264	3379	9373
265	3391	9357
266	3403	9343
267	3415	9327
268	3426	9312
269	3438	9297
270	3450	9283
271	3462	9268
272	3475	9254
273	3486	9238
274	3499	9225
275	3511	9210
276	3522	9194
277	3534	9179
278	3546	9165
279	3558	9149
280	3569	9133
281	3581	9118
282	3594	9105
283	3605	9090
284	3617	9074
285	3628	9059
286	3640	9043
287	3651	9027
288	3663	9013
289	3675	8998
290	3686	8981
291	3698	8968
292	3710	8953
293	3721	8936
294	3733	8922
295	3745	8908
296	3757	8894
297	3770	8882
298	3782	8867
299	3794	8853
300	3807	8842
301	3820	8829
302	3832	8815
303	3843	8800
304	3855	8785
305	3866	8769
306	3878	8754
307	3890	8740
308	3902	8726
309	3914	8712
310	3925	8697
311	3937	8682
312	3948	8667
313	3960	8653
314	3973	8640
315	3984	8625
316	3995	8609
317	4007	8595
318	4019	8581
319	4031	8566
320	4042	8551
321	4054	8536
322	4066	8522
323	4078	8508
324	4089	8494
325	4101	8479
326	4113	8466
327	4124	8451
328	4136	8437
329	4148	8422
330	4160	8408
331	4172	8396
332	4184	8381
333	4195	8365
334	4207	8351
335	4219	8338
336	4231	8323
337	4242	8309
338	4254	8295
339	4265	8280
340	4277	8266
341	4289	8253
342	4301	8239
343	4314	8227
344	4325	8213
345	4337	8199
346	4350	8186
347	4361	8171
348	4372	8156
349	4384	8143
350	4396	8129
351	4408	8115
352	4420	8101
353	4431	8087
354	4442	8072
355	4454	8059
356	4466	8045
357	4478	8030
358	4489	8016
359	4501	8003
360	4513	7989
361	4525	7975
362	4536	7961
363	4548	7947
364	4559	7932
365	4572	7920
366	4584	7907
367	4596	7893
368	4607	7878
369	4619	7865
370	4631	7852
371	4642	7837
372	4654	7823
373	4666	7810
374	4677	7796
375	4689	7782
376	4700	7768
377	4712	7754
378	4724	7740
379	4735	7727
380	4747	7713
381	4759	7699
382	4770	7685
383	4783	7672
384	4794	7657
385	4805	7644
386	4818	7631
387	4830	7618
388	4841	7604
389	4852	7590
390	4864	7577
391	4875	7562
392	4887	7548
393	4899	7535
394	4910	7521
395	4922	7507
396	4934	7495
397	4946	7481
398	4957	7467
399	4970	7455
400	4982	7442
401	4994	7429
402	5005	7414
403	5017	7401
404	5029	7388
405	5041	7375
406	5052	7361
407	5064	7348
408	5076	7335
409	5088	7321
410	5100	7308
411	5112	7295
412	5123	7281
413	5135	7269
414	5151	7262
415	5163	7248
416	5175	7235
417	5186	7221
418	5198	7207
419	5209	7194
420	5221	7180
421	5233	7168
422	5245	7154
423	5256	7140
424	5267	7126
425	5279	7113
426	5291	7101
427	5303	7087
428	5314	7073
429	5326	7060
430	5338	7047
431	5350	7034
432	5362	7021
433	5373	7008
434	5385	6994
435	5396	6981
436	5408	6968
437	5420	6955
438	5431	6941
439	5443	6928
440	5455	6914
441	5467	6901
442	5479	6889
443	5493	6879
444	5506	6867
445	5518	6855
446	5531	6843
447	5543	6830
448	5555	6817
449	5567	6804
450	5579	6791
451	5590	6777
452	5602	6764
453	5613	6751
454	5625	6737
455	5637	6725
456	5648	6711
457	5660	6699
458	5671	6685
459	5683	6672
460	5695	6659
461	5706	6645
462	5718	6632
463	5730	6619
464	5742	6606
465	5754	6593
466	5766	6581
467	5778	6569
468	5789	6555
469	5801	6542
470	5813	6528
471	5824	6516
472	5836	6503
473	5849	6490
474	5861	6478
475	5872	6464
476	5884	6451
477	5896	6439
478	5908	6426
479	5927	6421
480	5939	6408
481	5951	6395
482	5962	6382
483	5973	6368
484	5985	6356
485	5997	6343
486	6009	6329
487	6020	6316
488	6032	6303
489	6043	6290
490	6055	6277
491	6066	6264
492	6078	6250
493	6089	6237
494	6101	6224
495	6112	6211
496	6124	6198
497	6135	6185
498	6147	6171
499	6159	6159
500	6171	6146
501	6182	6133
502	6194	6120
503	6205	6107
504	6217	6094
505	6228	6080
506	6240	6067
507	6251	6054
508	6263	6042
509	6275	6029
510	6287	6016
511	6299	6003
512	6320	5999
513	6331	5986
514	6343	5973
515	6354	5960
516	6366	5948
517	6378	5934
518	6389	5922
519	6401	5908
520	6412	5895
521	6424	5882
522	6435	5869
523	6447	5856
524	6459	5844
525	6471	5831
526	6482	5818
527	6494	5806
528	6506	5793
529	6518	5780
530	6530	5767
531	6542	5755
532	6554	5742
533	6578	5740
534	6590	5728
535	6602	5715
536	6613	5701
537	6625	5689
538	6637	5676
539	6648	5663
540	6659	5650
541	6672	5638
542	6684	5625
543	6695	5612
544	6707	5600
545	6719	5587
546	6730	5573
547	6742	5561
548	6754	5548
549	6766	5535
550	6778	5523
551	6789	5510
552	6801	5497
553	6812	5484
554	6824	5471
555	6836	5459
556	6847	5445
557	6859	5433
558	6870	5420
559	6882	5407
560	6893	5394
561	6905	5382
562	6917	5369
563	6928	5356
564	6940	5343
565	6953	5331
566	6965	5318
567	6976	5306
568	6988	5293
569	7000	5280
570	7011	5268
571	7024	5255
572	7035	5242
573	7046	5229
574	7058	5217
575	7070	5204
576	7082	5191
577	7094	5179
578	7107	5167
579	7118	5155
580	7133	5144
581	7145	5131
582	7156	5118
583	7168	5106
584	7179	5093
585	7191	5080
586	7203	5068
587	7215	5055
588	7226	5042
589	7238	5029
590	7250	5017
