iter	MultiClass
0	1.309319117
1	1.253576275
2	1.198565323
3	1.157395248
4	1.11720529
5	1.086980671
6	1.058295189
7	1.033767455
8	1.01340802
9	0.9946013834
10	0.9781419687
11	0.9638424828
12	0.9492082512
13	0.9358951585
14	0.9235689903
15	0.9139585323
16	0.9039595799
17	0.8948821944
18	0.8851592895
19	0.8773532981
20	0.8695279323
21	0.8622550103
22	0.8573078203
23	0.8519627016
24	0.8460272892
25	0.8398347786
26	0.8346644817
27	0.8287947804
28	0.8237009139
29	0.8195533244
30	0.8150222218
31	0.812826965
32	0.8088768025
33	0.8057850584
34	0.8013124718
35	0.7984365154
36	0.7945541474
37	0.791420388
38	0.7881315239
39	0.7850028635
40	0.7823561437
41	0.7787193666
42	0.7759225541
43	0.7737294602
44	0.7709139568
45	0.7684018815
46	0.7659034404
47	0.7632570897
48	0.760473749
49	0.7579597396
50	0.7554570054
51	0.7529189857
52	0.752025174
53	0.7495387217
54	0.7477389195
55	0.7453410907
56	0.7432619213
57	0.7409160116
58	0.7401523155
59	0.738953759
60	0.7372342932
61	0.7353504711
62	0.733842111
63	0.7327226458
64	0.7312393941
65	0.730139032
66	0.7282326142
67	0.7263174328
68	0.724425466
69	0.7231022761
70	0.7213206082
71	0.7198470148
72	0.7184267905
73	0.717070327
74	0.7157635865
75	0.7142132583
76	0.7131615791
77	0.7115531927
78	0.7102484898
79	0.7088688813
80	0.7077205913
81	0.7061250886
82	0.7048967645
83	0.7036212893
84	0.7028717988
85	0.7017336785
86	0.7001656381
87	0.6988449989
88	0.6975921231
89	0.6964229759
90	0.6955984586
91	0.6944640321
92	0.6937442322
93	0.6927595768
94	0.691688503
95	0.6908512902
96	0.6900246682
97	0.6889351691
98	0.6877881441
99	0.6866330827
100	0.685652248
101	0.6845563816
102	0.6836627757
103	0.6827827485
104	0.6819162387
105	0.6810875785
106	0.6802064863
107	0.679344351
108	0.6785408411
109	0.6773093706
110	0.6764401318
111	0.6754775136
112	0.6745694902
113	0.6737936909
114	0.6730590015
115	0.6720138359
116	0.6713584646
117	0.6704415051
118	0.6696974433
119	0.6689239055
120	0.6682142752
121	0.6675669055
122	0.6668066715
123	0.665987008
124	0.6652221805
125	0.6644553946
126	0.6637594586
127	0.6630303027
128	0.6622780321
129	0.661494244
130	0.6607240098
131	0.6600236095
132	0.6594589638
133	0.6588778063
134	0.6582173497
135	0.657576149
136	0.6569076703
137	0.6562432835
138	0.6556185263
139	0.6550758677
140	0.6545735703
141	0.6539119075
142	0.6531875079
143	0.652540132
144	0.6518676593
145	0.6512918668
146	0.6507639602
147	0.6502948353
148	0.6494118678
149	0.648725943
150	0.6482311963
151	0.6476565461
152	0.6471436162
153	0.6463369276
154	0.645705982
155	0.6451804241
156	0.6446745297
157	0.6440625763
158	0.6436017426
159	0.642851567
160	0.6424487528
161	0.6419394842
162	0.6414344055
163	0.6409218146
164	0.6403840714
165	0.639848153
166	0.6393017934
167	0.6388568069
168	0.6382543499
169	0.6377500405
170	0.6373289364
171	0.6368841416
172	0.6363706847
173	0.6357655272
174	0.6351915615
175	0.6346993929
176	0.6341665162
177	0.6338090888
178	0.6333787986
179	0.6328444262
180	0.6323366397
181	0.6318766417
182	0.6314173089
183	0.6309215806
184	0.6304890095
185	0.6300745614
186	0.6296648993
187	0.6292800968
188	0.6288690363
189	0.6283882872
190	0.6280493235
191	0.6276321811
192	0.6272435538
193	0.6268478835
194	0.626329256
195	0.6258873769
196	0.6254388843
197	0.6250802948
198	0.6246131535
199	0.6241687511
200	0.62376433
201	0.6234177061
202	0.6231437813
203	0.6228058429
204	0.6224497662
205	0.6221378378
206	0.6216908593
207	0.621375968
208	0.6209945423
209	0.620574197
210	0.6202396304
211	0.6198950698
212	0.6194634781
213	0.6191376216
214	0.6188299703
215	0.6184376019
216	0.6180802587
217	0.6177861731
218	0.617489663
219	0.6171764004
220	0.6167892373
221	0.6165342341
222	0.6160804538
223	0.6157030796
224	0.6154295301
225	0.615178292
226	0.6148660916
227	0.614542694
228	0.6143043453
229	0.6140091095
230	0.6137637395
231	0.6133411128
232	0.6129541971
233	0.6126772137
234	0.6123937802
235	0.6121674951
236	0.611883809
237	0.6115996679
238	0.6112883886
239	0.6110752057
240	0.6108297269
241	0.6105450339
242	0.6102588256
243	0.6099588431
244	0.6096419589
245	0.6093396747
246	0.6090075667
247	0.6087256379
248	0.6084549383
249	0.60820267
250	0.6079758139
251	0.6077629318
252	0.6075213149
253	0.6072709764
254	0.6070524219
255	0.6067996601
256	0.606583013
257	0.6063681001
258	0.6061377259
259	0.6058698654
260	0.605616007
261	0.6053135486
262	0.6050768123
263	0.6048296714
264	0.6045421229
265	0.6043449749
266	0.6040301064
267	0.6038002948
268	0.6035820006
269	0.6032953502
270	0.6030480243
271	0.6028073542
272	0.6026188238
273	0.6024022303
274	0.6021552237
275	0.6019101429
276	0.6015510252
277	0.6013176024
278	0.6010410955
279	0.6008756132
280	0.6006764175
281	0.6005030884
282	0.6002394556
283	0.6000558948
284	0.5998341426
285	0.5996169476
286	0.5994300601
287	0.5992155214
288	0.5989505937
289	0.5987093395
290	0.5984690141
291	0.5983152949
292	0.5981087406
293	0.5979455776
294	0.5977045205
295	0.5975152868
296	0.59736985
297	0.597170639
298	0.5969746299
299	0.5967665465
300	0.5965236103
301	0.5962877886
302	0.5961429742
303	0.5959629857
304	0.5957477859
305	0.5955171209
306	0.5953141442
307	0.5951019494
308	0.5949639054
309	0.5948156697
310	0.5946282635
311	0.5944006934
312	0.5942490699
313	0.5941065286
314	0.5939681601
315	0.5937608915
316	0.5935815899
317	0.5934240686
318	0.5931555027
319	0.5928549098
320	0.5926111168
321	0.5924745396
322	0.5923228143
323	0.5920909634
324	0.5919453494
325	0.5917667508
326	0.5915675735
327	0.5914247631
328	0.5912731073
329	0.5910717188
330	0.5909061066
331	0.5906718124
332	0.5905226217
333	0.5903585915
334	0.5902099477
335	0.5900739134
336	0.5899178973
337	0.589732714
338	0.5895594179
339	0.5894001958
340	0.5892245376
341	0.5890399209
342	0.5888703847
343	0.5887250945
344	0.5885708348
345	0.5883451489
346	0.5881874525
347	0.5880207689
348	0.5878287326
349	0.5877041466
350	0.5875812026
351	0.5874315606
352	0.5873205639
353	0.5871082346
354	0.5869752132
355	0.586833634
356	0.5867310912
357	0.5865025071
358	0.5863633302
359	0.5862480402
360	0.5860952467
361	0.5859098115
362	0.5857895289
363	0.585668163
364	0.5854964524
365	0.5853315302
366	0.5852323153
367	0.5850381933
368	0.5848810169
369	0.584695618
370	0.5845404975
371	0.5843760633
372	0.5842410192
373	0.584146899
374	0.5840362333
375	0.5838606868
376	0.5836819667
